brake,hand_brake,throttle,steer,distance,action
1.0,False,0.0,0.0,64.01215363,2.0
1.0,False,0.0,0.0,64.01215363,2.0
1.0,False,0.0,0.0,61.7218399,2.0
1.0,False,0.0,0.0,61.7218399,2.0
1.0,False,0.0,0.0,12.0534296,1.0
0.0,False,0.0,0.0,12.0534296,1.0
0.0,False,0.0,0.0,11.73081398,1.0
0.0,False,0.0,0.0,11.73081398,1.0
0.0,False,0.0,0.0,58.96028519,2.0
0.0,False,0.0,0.0,58.96028519,2.0
0.0,False,0.0,0.0,54.36253357,2.0
0.0,False,0.0,0.0,54.36253357,2.0
0.200000003,False,0.0,0.0,26.29127693,2.0
0.400000006,False,0.0,0.0,26.29127693,2.0
0.600000024,False,0.0,0.0,57.99201965,2.0
0.800000012,False,0.0,0.0,57.99201965,2.0
1.0,False,0.0,0.0,25.71731377,2.0
1.0,False,0.0,0.0,25.71731377,2.0
1.0,False,0.0,0.0,52.50646973,2.0
0.0,False,0.0,0.0,52.50646973,2.0
0.0,False,0.0,0.0,10.1052227,1.0
0.0,False,0.0,0.0,10.1052227,1.0
0.0,False,0.01,0.0,10.1052227,1.0
0.0,False,0.02,0.0,10.1052227,1.0
0.0,False,0.029999999,0.0,28.26229668,2.0
0.0,False,0.039999999,0.0,28.26229668,2.0
0.0,False,0.050000000999999995,0.0,53.34029770000001,2.0
0.0,False,0.060000002000000004,0.0,53.34029770000001,2.0
0.0,False,0.07,0.0,28.45616722,2.0
0.0,False,0.079999998,0.0,28.45616722,2.0
0.0,False,0.089999996,0.0,55.01948929,2.0
0.0,False,0.09999999400000001,0.0,55.01948929,2.0
0.0,False,0.10999999199999999,0.0,24.02024651,2.0
0.0,False,0.11999999,0.0,24.02024651,2.0
0.0,False,0.129999995,0.0,55.78910065,2.0
0.0,False,0.14000000099999999,0.0,55.78910065,2.0
0.0,False,0.150000006,0.0,55.37806702,2.0
0.0,False,0.160000011,0.0,55.37806702,2.0
0.0,False,0.170000017,0.0,8.422422409,1.0
0.0,False,0.18000002199999998,0.0,8.422422409,1.0
0.0,False,0.190000027,0.0,84.17858887,2.0
0.0,False,0.200000033,0.0,84.17858887,2.0
0.0,False,0.210000038,0.0,23.61188126,2.0
0.0,False,0.22000004399999998,0.0,23.61188126,2.0
0.0,False,0.23000004899999998,0.0,23.55805397,2.0
0.0,False,0.240000054,0.0,23.55805397,2.0
0.0,False,0.25000006,0.0,23.514949800000004,2.0
0.0,False,0.26000005,0.0,23.514949800000004,2.0
0.0,False,0.270000041,0.0,23.47635269,2.0
0.0,False,0.28000003100000004,0.0,23.47635269,2.0
0.0,False,0.290000021,0.0,24.328800199999996,2.0
0.0,False,0.300000012,0.0,24.328800199999996,2.0
0.0,False,0.310000002,0.0,8.220578194,1.0
0.0,False,0.319999993,0.0,8.220578194,1.0
0.0,False,0.329999983,0.0,8.209524155,1.0
0.0,False,0.339999974,0.0,8.209524155,1.0
0.0,False,0.349999964,0.0,8.270817757,1.0
0.0,False,0.359999955,0.0,8.270817757,1.0
0.0,False,0.369999945,0.0,8.215240479,1.0
0.0,False,0.37999993600000004,0.0,8.215240479,1.0
0.0,False,0.389999926,0.0,72.79508972,2.0
0.0,False,0.39999991700000004,0.0,72.79508972,2.0
0.0,False,0.40999990700000005,0.0,8.637745857,1.0
0.0,False,0.419999897,0.0,8.637745857,1.0
0.0,False,0.429999888,0.0,92.83054352,2.0
0.0,False,0.43999987799999996,0.0,92.83054352,2.0
0.0,False,0.449999869,0.0,23.23208046,2.0
0.0,False,0.459999859,0.0,23.23208046,2.0
0.0,False,0.46999985,0.0,36.47341537,2.0
0.0,False,0.47999984,0.0,36.47341537,2.0
0.0,False,0.489999831,0.0,8.229860306,1.0
0.0,False,0.499999821,0.0,8.229860306,1.0
0.0,False,0.509999812,0.0,84.02964783,2.0
0.0,False,0.5199998020000001,0.0,84.02964783,2.0
0.0,False,0.529999793,0.0,53.07581329,2.0
0.0,False,0.539999783,0.0,53.07581329,2.0
0.0,False,0.549999774,0.0,37.04185104,2.0
0.0,False,0.559999764,0.0,37.04185104,2.0
0.0,False,0.569999754,0.0,24.3090229,2.0
0.0,False,0.579999745,0.0,24.3090229,2.0
0.0,False,0.589999735,0.0,24.3090229,2.0
0.0,False,0.5999997260000001,0.0,24.3090229,2.0
0.0,False,0.609999716,0.0,23.24271584,2.0
0.0,False,0.6199997070000001,0.0,23.24271584,2.0
0.0,False,0.629999697,0.0,23.0000267,2.0
0.0,False,0.639999688,0.0,23.0000267,2.0
0.0,False,0.649999678,0.0,24.295240399999997,2.0
0.0,False,0.659999669,0.0,24.295240399999997,2.0
0.0,False,0.669999659,0.0,23.17059326,2.0
0.0,False,0.67999965,0.0,23.17059326,2.0
0.0,False,0.68999964,0.0,50.15093231,2.0
0.0,False,0.69999963,0.0,50.15093231,2.0
0.0,False,0.7099996209999999,0.0,8.38906765,1.0
0.0,False,0.719999611,0.0,8.38906765,1.0
0.0,False,0.729999602,0.0,22.85503578,2.0
0.0,False,0.739999592,0.0,22.85503578,2.0
0.0,False,0.749999583,0.0,50.17007065,2.0
0.0,False,0.759999573,0.0,50.17007065,2.0
0.0,False,0.769999564,0.0,81.25753784,2.0
0.0,False,0.7799995540000001,0.0,81.25753784,2.0
0.0,False,0.789999545,0.0,31.131826399999998,2.0
0.0,False,0.799999535,0.0,31.131826399999998,2.0
0.0,False,0.8099995259999999,0.0,7.952524185,1.0
0.0,False,0.819999516,0.0,7.952524185,1.0
0.0,False,0.8299995059999999,0.0,7.831801414,1.0
0.0,False,0.839999497,0.0,7.831801414,1.0
0.0,False,0.849999487,0.0,55.91985321,2.0
0.0,False,0.859999478,0.0,55.91985321,2.0
0.0,False,0.8699994679999999,0.0,7.767838001,1.0
0.0,False,0.8799994590000001,0.0,7.767838001,1.0
0.0,False,0.889999449,0.0,64.66387177,2.0
0.0,False,0.89999944,0.0,64.66387177,2.0
0.0,False,0.90999943,0.0,7.556310654,1.0
0.0,False,0.919999421,0.0,7.556310654,1.0
0.0,False,0.9299994109999999,0.0,29.747924800000003,2.0
0.0,False,0.939999402,0.0,29.747924800000003,2.0
0.0,False,0.949999392,0.0,7.359147072000001,1.0
0.0,False,0.959999382,0.0,7.359147072000001,1.0
0.0,False,0.9699993729999999,0.0,7.507442951,1.0
0.0,False,0.979999363,0.0,7.507442951,1.0
0.0,False,0.989999354,0.0,7.507442951,1.0
0.0,False,0.999999344,0.0,7.507442951,1.0
0.0,False,1.0,0.0,7.504580021000001,1.0
0.0,False,1.0,0.0,7.504580021000001,1.0
0.0,False,1.0,0.0,6.746048927,1.0
0.0,False,1.0,0.0,6.746048927,1.0
0.0,False,1.0,0.0,20.9625206,2.0
0.0,False,1.0,0.0,20.9625206,2.0
0.0,False,1.0,0.0,20.53322983,2.0
0.0,False,1.0,0.0,20.53322983,2.0
0.0,False,1.0,0.0,20.17443848,2.0
0.0,False,1.0,0.0,20.17443848,2.0
0.0,False,1.0,0.0,5.713404178999999,1.0
0.0,False,1.0,0.0,5.713404178999999,1.0
0.0,False,1.0,0.0,5.465541363,1.0
0.0,False,1.0,0.0,5.465541363,1.0
0.0,False,1.0,0.0,5.172139168,1.0
0.0,False,1.0,0.0,5.172139168,1.0
0.0,False,1.0,0.0,4.79233551,1.0
0.0,False,1.0,0.0,4.79233551,1.0
0.0,False,1.0,0.0,4.568846226000001,1.0
0.0,False,1.0,0.0,4.568846226000001,1.0
0.0,False,1.0,0.0,20.79287529,2.0
0.0,False,0.0,0.0,20.79287529,2.0
0.0,False,0.0,0.0,71.43919373,2.0
0.0,False,0.0,0.0,71.43919373,2.0
0.0,False,0.0,0.0,71.91622162,2.0
0.200000003,False,0.0,0.0,71.91622162,2.0
0.400000006,False,0.0,0.0,71.91622162,2.0
0.600000024,False,0.0,0.0,71.91622162,2.0
0.800000012,False,0.0,0.0,18.060709,2.0
1.0,False,0.0,0.0,18.060709,2.0
1.0,False,0.0,0.0,2.683540821,1.0
